x,y,gid,Name,description
"-46,7657919","-23,7882006",182,PEV - E.E. Professor Carlos Cattony,"Materiais recicláveis: metal, papel, plástico e vidro. Estr. Jaceguava, 11 - Recanto Campo Belo."
"-46,729246","-23,8070627",183,PEV - Escola Municipal de Educação Infantil José La Torre Professor,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Antônio Marcondes Boêta, 161 - Jardim Aladim."
"-46,7353059","-23,815156",184,PEV - Sub-Prefeitura de Parelheiros,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Sadamu Inoue, 5252 - Jardim Casa Grande."
"-46,6617152","-23,6229302",185,PEV - Mega Flora Auto Posto LTDA,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Washington Luís, 1354 - Santo Amaro."
"-46,6624834","-23,6269906",186,PEV - Corpo de Bombeiro ,"Materiais recicláveis: metal, papel, plástico e vidro. R. Rafael Iório, 160 - Campo Belo."
"-46,6774369","-23,639924",187,PEV - Parque Municipal do Cordeiro,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Breves, 968- Jardim Cordeiro."
"-46,7044542","-23,6382103",188,PEV - Parque Severo Gomes,"Materiais recicláveis: metal, papel, plástico e vidro. R. Píres de Oliveira, 356 - Granja Julieta."
"-46,7036647","-23,7108692",189,PEV - Clube Desportivo Municipal Ebanos,"Materiais recicláveis: metal, papel, plástico e vidro. R. São Guilherme, 515- Cidade Dutra."
"-46,6919323","-23,7655231",190,PEV - Creche Pré-Escola Jardim Três Corações,"Materiais recicláveis: metal, papel, plástico e vidro. R. Maj. Lúcio Dias Ramos, 55 - Jardim Tanay."
"-46,7152089","-23,714397",191,PEV - Diretoria de Ensino Região Sul 3,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Alcindo Ferreira, 4 - Parque do Castelo."
"-46,7152263","-23,71439",192,PEV - E. E. Padre Francisco João de Azevedo ,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Alcindo Ferreira, 2 - Parque do Castelo."
"-46,699551","-23,732868",193,PEV - Emef João de Deus Cardoso de Mello,"Materiais recicláveis: metal, papel, plástico e vidro. R. Manoel Vitórino Pereira, 220 - Jardim Danúbio. "
"-46,6653475","-23,7590511",194,PEV - Parque Jardim Shangrilá,"Materiais recicláveis: metal, papel, plástico e vidro. R. Irmã Maria Lourença, 1 - Jardim Shangrilá."
"-46,7130598","-23,677241",195,PEV - Parque Municipal da Barragem ,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Antônio Veríssimo Alves, 1 - Jardim Guarapiranga."
"-46,7165238","-23,7300744",196,PEV - Parque Municipal São José,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Frederico René de Jaegher, 2716 - Rio Bonito."
"-46,5739106","-23,7214851",197,PEV - Parque Praia do Sol ,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Robert Kennedy, 3500 - Planalto, São Bernardo do Campo."
"-46,7171991","-23,7663947",198,PEV - Programa de Apoio ao Turista ,"Materiais recicláveis: metal, papel, plástico e vidro. Av. Sen. Teotônio Vilela, 8000 - Jardim São Rafael."
"-46,6832415","-23,7296816",199,PEV - SVMA DEPAVE / Parque Guanembu,"Materiais recicláveis: metal, papel, plástico e vidro. R. Daniel Ribeiro Calado, 40 - Jardim Guanhembu."
"-46,6521115","-23,5976463",200,PEV - Centro Educacional Ibirapuera,"Materiais recicláveis: metal, papel, plástico e vidro. Rua Pedro de Toledo, 1591 - Vila Clementino."
"-46,6569558","-23,5997612",201,PEV - Parque das Bicicletas,"Materiais recicláveis: metal, papel, plástico e vidro. Alameda Iraé, 35 - Moema."
